"Topic name","Tags","Partitions","Production","Consumption","Retained bytes","Consumers","Has data contract"
"safecdx.adr.message","","6","","","0B","","false"
"safecdx.audit.message","","6","47B/s","0B/s","52.45MB","1","false"
"safecdx.classification.engine.message","","6","","0B/s","0B","1","false"
"safecdx.classification.message","","6","","0B/s","24.47KB","1","false"
"safecdx.communication.cdc.notification.message","","6","","","0B","","false"
"safecdx.communication.notification.message","","6","","","31.15KB","1","false"
"safecdx.connected.lab.findings.message","","6","","0B/s","0B","1","false"
"safecdx.cvml.result.message","","6","","0B/s","0B","1","false"
"safecdx.delivery.tracking.message","","6","","","0B","","false"
"safecdx.medical.record.message","","6","","0B/s","0B","1","false"
"safecdx.order.message","","6","","0B/s","0B","1","false"
"safecdx.toggle.request.message","","6","","0B/s","741.02KB","1","false"
"safecdx.toggle.update.message","","6","","","0B","","false"
"safecdx.toggle.update.message.audit","","6","14.64KB/s","14.64KB/s","1012.44MB","1","false"
"safecdx.toggle.update.message.classification","","6","","0B/s","979.51MB","1","false"
"safecdx.toggle.update.message.communications","","6","","0B/s","941.91MB","1","false"
"safecdx.toggle.update.message.communications.batch","","6","0B/s","0B/s","1.14GB","1","false"
"safecdx.toggle.update.message.health","","6","","0B/s","1.98GB","1","false"
"safecdx.toggle.update.message.logistics","","6","","0B/s","732.52MB","1","false"
"safecdx.toggle.update.message.media","","6","","0B/s","480.13MB","1","false"
"safecdx.toggle.update.message.org","","6","","0B/s","361.97MB","1","false"
"safecdx.toggle.update.message.questionnaire","","6","","0B/s","696.85MB","1","false"
"safecdx.toggle.update.message.terminology","","6","","0B/s","1.14GB","1","false"
